scenario_id,base_scenario_id,prospective_cluster_count,delta,control_response_lambda,replicates,master_seed,engineering_smoke,nested_campaign_prefix,scenario_semantics
CS-7f88aa3d710d94fd331a96cb,BS-1986b1f16ffa29a77e2c0050,12,2.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ea26edfc95d1c3de598b3533,BS-807d5b9beeaad018721528b7,3,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c7b0b4df35f8c053a6e73b22,BS-807d5b9beeaad018721528b7,4,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-107ae89002ffe0f6fc278471,BS-807d5b9beeaad018721528b7,5,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-71702ec7dbb40e3119d7a84d,BS-807d5b9beeaad018721528b7,6,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-266bd4a4d1dd1e9e709506fc,BS-807d5b9beeaad018721528b7,8,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-d29cdfc923777ced81fc7649,BS-807d5b9beeaad018721528b7,10,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-f05d212ae398c67684689529,BS-807d5b9beeaad018721528b7,12,2.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-b06d226f6f5a4264111e3bf4,BS-6a546d336684ecf6fd1ad1b3,3,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c3eabcee149187541fa76ac3,BS-6a546d336684ecf6fd1ad1b3,4,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-01a1d123d730a7cf59a1abc6,BS-6a546d336684ecf6fd1ad1b3,5,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-266414e75cb4b68680e8ed54,BS-6a546d336684ecf6fd1ad1b3,6,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c605a05c2344c54bef6e205c,BS-6a546d336684ecf6fd1ad1b3,8,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ec5b10bce56cd1906bd8c770,BS-6a546d336684ecf6fd1ad1b3,10,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-23f27a11b5d8de993a8900a4,BS-6a546d336684ecf6fd1ad1b3,12,2.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
