partition,simulator_id,prospective_cluster_count,control_response_lambda,delta,addresses,macro_mean_gate_passage_probability,minimum_address_probability,median_address_probability,maximum_address_probability
confirmation,joint_gaussian_regularized_cluster,8,0.0,0.25,6,0.10766666666666667,0.0,0.05,0.31
confirmation,joint_gaussian_regularized_cluster,8,0.0,0.5,6,0.22499999999999998,0.0,0.092,0.588
confirmation,joint_gaussian_regularized_cluster,8,0.0,0.75,6,0.2728333333333333,0.0,0.095,0.812
confirmation,joint_gaussian_regularized_cluster,8,0.0,1.0,6,0.2945,0.0,0.109,0.909
confirmation,joint_gaussian_regularized_cluster,8,0.0,1.5,6,0.29633333333333334,0.0,0.11049999999999999,0.943
confirmation,joint_gaussian_regularized_cluster,8,0.0,2.0,6,0.304,0.0,0.1135,0.974
confirmation,joint_gaussian_regularized_cluster,8,0.25,0.25,6,0.11366666666666665,0.0,0.052000000000000005,0.348
confirmation,joint_gaussian_regularized_cluster,8,0.25,0.5,6,0.21833333333333335,0.0,0.078,0.606
confirmation,joint_gaussian_regularized_cluster,8,0.25,0.75,6,0.27166666666666667,0.0,0.095,0.837
confirmation,joint_gaussian_regularized_cluster,8,0.25,1.0,6,0.2921666666666667,0.0,0.11599999999999999,0.898
confirmation,joint_gaussian_regularized_cluster,8,0.25,1.5,6,0.3025,0.0,0.114,0.948
confirmation,joint_gaussian_regularized_cluster,8,0.25,2.0,6,0.3076666666666667,0.0,0.112,0.964
confirmation,joint_gaussian_regularized_cluster,8,0.5,0.25,6,0.09416666666666666,0.0,0.0365,0.272
confirmation,joint_gaussian_regularized_cluster,8,0.5,0.5,6,0.2045,0.0,0.076,0.588
confirmation,joint_gaussian_regularized_cluster,8,0.5,0.75,6,0.25516666666666665,0.0,0.1025,0.75
confirmation,joint_gaussian_regularized_cluster,8,0.5,1.0,6,0.2728333333333333,0.0,0.107,0.829
confirmation,joint_gaussian_regularized_cluster,8,0.5,1.5,6,0.287,0.0,0.1065,0.912
confirmation,joint_gaussian_regularized_cluster,8,0.5,2.0,6,0.28933333333333333,0.0,0.0955,0.919
confirmation,joint_gaussian_regularized_cluster,8,1.0,0.25,6,0.05083333333333334,0.0,0.0145,0.165
confirmation,joint_gaussian_regularized_cluster,8,1.0,0.5,6,0.08750000000000001,0.0,0.025,0.273
confirmation,joint_gaussian_regularized_cluster,8,1.0,0.75,6,0.09683333333333333,0.0,0.034,0.307
confirmation,joint_gaussian_regularized_cluster,8,1.0,1.0,6,0.09933333333333334,0.0,0.033,0.337
confirmation,joint_gaussian_regularized_cluster,8,1.0,1.5,6,0.10316666666666667,0.0,0.0295,0.344
confirmation,joint_gaussian_regularized_cluster,8,1.0,2.0,6,0.08849999999999998,0.0,0.028499999999999998,0.288
confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,10,0.0,0.25,6,0.18483333333333332,0.0,0.1085,0.503
confirmation,joint_gaussian_regularized_cluster,10,0.0,0.5,6,0.32116666666666666,0.0,0.16949999999999998,0.802
confirmation,joint_gaussian_regularized_cluster,10,0.0,0.75,6,0.3586666666666667,0.0,0.1985,0.938
confirmation,joint_gaussian_regularized_cluster,10,0.0,1.0,6,0.3715,0.0,0.20650000000000002,0.973
confirmation,joint_gaussian_regularized_cluster,10,0.0,1.5,6,0.38033333333333336,0.0,0.2365,0.991
confirmation,joint_gaussian_regularized_cluster,10,0.0,2.0,6,0.37716666666666665,0.0,0.2215,0.997
confirmation,joint_gaussian_regularized_cluster,10,0.25,0.25,6,0.19000000000000003,0.0,0.099,0.521
confirmation,joint_gaussian_regularized_cluster,10,0.25,0.5,6,0.3196666666666667,0.0,0.172,0.808
confirmation,joint_gaussian_regularized_cluster,10,0.25,0.75,6,0.3561666666666667,0.0,0.186,0.939
confirmation,joint_gaussian_regularized_cluster,10,0.25,1.0,6,0.3678333333333333,0.0,0.2125,0.977
confirmation,joint_gaussian_regularized_cluster,10,0.25,1.5,6,0.37516666666666665,0.0,0.21650000000000003,0.988
confirmation,joint_gaussian_regularized_cluster,10,0.25,2.0,6,0.37716666666666665,0.0,0.2165,0.994
confirmation,joint_gaussian_regularized_cluster,10,0.5,0.25,6,0.16333333333333333,0.0,0.084,0.444
confirmation,joint_gaussian_regularized_cluster,10,0.5,0.5,6,0.29283333333333333,0.0,0.1755,0.741
confirmation,joint_gaussian_regularized_cluster,10,0.5,0.75,6,0.33549999999999996,0.0,0.2005,0.859
confirmation,joint_gaussian_regularized_cluster,10,0.5,1.0,6,0.35316666666666663,0.0,0.219,0.909
confirmation,joint_gaussian_regularized_cluster,10,0.5,1.5,6,0.3635,0.0,0.2145,0.955
confirmation,joint_gaussian_regularized_cluster,10,0.5,2.0,6,0.3625,0.0,0.20450000000000002,0.958
confirmation,joint_gaussian_regularized_cluster,10,1.0,0.25,6,0.07166666666666667,0.0,0.025,0.23
confirmation,joint_gaussian_regularized_cluster,10,1.0,0.5,6,0.10916666666666668,0.0,0.051500000000000004,0.318
confirmation,joint_gaussian_regularized_cluster,10,1.0,0.75,6,0.11283333333333334,0.0,0.05,0.32
confirmation,joint_gaussian_regularized_cluster,10,1.0,1.0,6,0.11966666666666666,0.0,0.0565,0.344
confirmation,joint_gaussian_regularized_cluster,10,1.0,1.5,6,0.11316666666666668,0.0,0.051500000000000004,0.333
confirmation,joint_gaussian_regularized_cluster,10,1.0,2.0,6,0.10216666666666667,0.0,0.052500000000000005,0.274
confirmation,joint_gaussian_regularized_cluster,12,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,12,0.0,0.25,6,0.2608333333333333,0.0,0.1785,0.659
confirmation,joint_gaussian_regularized_cluster,12,0.0,0.5,6,0.39316666666666666,0.0,0.273,0.916
confirmation,joint_gaussian_regularized_cluster,12,0.0,0.75,6,0.4203333333333334,0.0,0.3095,0.986
confirmation,joint_gaussian_regularized_cluster,12,0.0,1.0,6,0.43416666666666665,0.0,0.33899999999999997,0.995
confirmation,joint_gaussian_regularized_cluster,12,0.0,1.5,6,0.4411666666666667,0.0,0.359,0.999
confirmation,joint_gaussian_regularized_cluster,12,0.0,2.0,6,0.43616666666666665,0.0,0.3455,1.0
confirmation,joint_gaussian_regularized_cluster,12,0.25,0.25,6,0.258,0.0,0.1605,0.665
confirmation,joint_gaussian_regularized_cluster,12,0.25,0.5,6,0.3878333333333333,0.0,0.2745,0.898
confirmation,joint_gaussian_regularized_cluster,12,0.25,0.75,6,0.4175,0.0,0.305,0.977
confirmation,joint_gaussian_regularized_cluster,12,0.25,1.0,6,0.4346666666666667,0.0,0.34099999999999997,0.996
confirmation,joint_gaussian_regularized_cluster,12,0.25,1.5,6,0.43683333333333335,0.0,0.34950000000000003,0.996
confirmation,joint_gaussian_regularized_cluster,12,0.25,2.0,6,0.436,0.0,0.349,0.999
confirmation,joint_gaussian_regularized_cluster,12,0.5,0.25,6,0.22616666666666665,0.0,0.154,0.563
confirmation,joint_gaussian_regularized_cluster,12,0.5,0.5,6,0.36333333333333334,0.0,0.28550000000000003,0.822
confirmation,joint_gaussian_regularized_cluster,12,0.5,0.75,6,0.40166666666666667,0.0,0.32799999999999996,0.904
confirmation,joint_gaussian_regularized_cluster,12,0.5,1.0,6,0.4235,0.0,0.35250000000000004,0.944
confirmation,joint_gaussian_regularized_cluster,12,0.5,1.5,6,0.426,0.0,0.3385,0.967
confirmation,joint_gaussian_regularized_cluster,12,0.5,2.0,6,0.42650000000000005,0.0,0.3285,0.979
confirmation,joint_gaussian_regularized_cluster,12,1.0,0.25,6,0.08416666666666667,0.0,0.035,0.245
confirmation,joint_gaussian_regularized_cluster,12,1.0,0.5,6,0.1165,0.0,0.0665,0.298
confirmation,joint_gaussian_regularized_cluster,12,1.0,0.75,6,0.122,0.0,0.0765,0.304
confirmation,joint_gaussian_regularized_cluster,12,1.0,1.0,6,0.12233333333333334,0.0,0.071,0.331
confirmation,joint_gaussian_regularized_cluster,12,1.0,1.5,6,0.119,0.0,0.07400000000000001,0.308
confirmation,joint_gaussian_regularized_cluster,12,1.0,2.0,6,0.10816666666666667,0.0,0.066,0.278
confirmation,joint_wild_cluster_rademacher,3,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.0,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.25,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,0.5,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,0.25,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,0.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,0.75,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,1.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,1.5,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,3,1.0,2.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,4,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,4,0.0,0.25,6,0.006166666666666667,0.0,0.001,0.026
confirmation,joint_wild_cluster_rademacher,4,0.0,0.5,6,0.018833333333333334,0.0,0.002,0.068
confirmation,joint_wild_cluster_rademacher,4,0.0,0.75,6,0.030833333333333334,0.0,0.003,0.121
confirmation,joint_wild_cluster_rademacher,4,0.0,1.0,6,0.043333333333333335,0.0,0.0015,0.197
confirmation,joint_wild_cluster_rademacher,4,0.0,1.5,6,0.05483333333333334,0.0,0.003,0.258
confirmation,joint_wild_cluster_rademacher,4,0.0,2.0,6,0.056999999999999995,0.0,0.004,0.289
confirmation,joint_wild_cluster_rademacher,4,0.25,0.25,6,0.0055000000000000005,0.0,0.001,0.022
confirmation,joint_wild_cluster_rademacher,4,0.25,0.5,6,0.017666666666666667,0.0,0.0015,0.056
confirmation,joint_wild_cluster_rademacher,4,0.25,0.75,6,0.03316666666666667,0.0,0.005,0.123
confirmation,joint_wild_cluster_rademacher,4,0.25,1.0,6,0.04016666666666666,0.0,0.0035,0.156
confirmation,joint_wild_cluster_rademacher,4,0.25,1.5,6,0.059500000000000004,0.0,0.0025,0.281
confirmation,joint_wild_cluster_rademacher,4,0.25,2.0,6,0.06083333333333333,0.0,0.003,0.29
confirmation,joint_wild_cluster_rademacher,4,0.5,0.25,6,0.005666666666666667,0.0,0.002,0.019
confirmation,joint_wild_cluster_rademacher,4,0.5,0.5,6,0.015666666666666666,0.0,0.0035,0.051
confirmation,joint_wild_cluster_rademacher,4,0.5,0.75,6,0.028999999999999998,0.0,0.0055,0.125
confirmation,joint_wild_cluster_rademacher,4,0.5,1.0,6,0.041666666666666664,0.0,0.004,0.176
confirmation,joint_wild_cluster_rademacher,4,0.5,1.5,6,0.05483333333333334,0.0,0.0035,0.253
confirmation,joint_wild_cluster_rademacher,4,0.5,2.0,6,0.0545,0.0,0.0035,0.255
confirmation,joint_wild_cluster_rademacher,4,1.0,0.25,6,0.0036666666666666666,0.0,0.0005,0.011
confirmation,joint_wild_cluster_rademacher,4,1.0,0.5,6,0.010666666666666666,0.0,0.0005,0.04
confirmation,joint_wild_cluster_rademacher,4,1.0,0.75,6,0.016166666666666666,0.0,0.0015,0.07
confirmation,joint_wild_cluster_rademacher,4,1.0,1.0,6,0.021666666666666667,0.0,0.002,0.105
confirmation,joint_wild_cluster_rademacher,4,1.0,1.5,6,0.021,0.0,0.0005,0.104
confirmation,joint_wild_cluster_rademacher,4,1.0,2.0,6,0.024666666666666667,0.0,0.002,0.127
confirmation,joint_wild_cluster_rademacher,5,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_wild_cluster_rademacher,5,0.0,0.25,6,0.020166666666666666,0.0,0.006500000000000001,0.078
confirmation,joint_wild_cluster_rademacher,5,0.0,0.5,6,0.06183333333333333,0.0,0.0105,0.207
confirmation,joint_wild_cluster_rademacher,5,0.0,0.75,6,0.09050000000000001,0.0,0.0155,0.328
confirmation,joint_wild_cluster_rademacher,5,0.0,1.0,6,0.10683333333333334,0.0,0.014499999999999999,0.45
