artifact_label,artifact_path,column_position,column_name,normalized_column,dtype,rows_read,non_null_rows,non_null_share,unique_non_null,uniqueness_share,candidate_roles,sample_values
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,0,path_id,path_id,str,30000,30000,1.0,15000,0.5,route_id,P37257 | P40293 | P26398
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,69,pn_obstruction_signed_sum_holonomy_sum,pn_obstruction_signed_sum_holonomy_sum,float64,30000,30000,1.0,3209,0.10696666666666667,,-1.3035714285714284 | -2.5198412698412707 | 4.055555555555556
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,70,pn_obstruction_signed_sum_holonomy_last_minus_first,pn_obstruction_signed_sum_holonomy_last_minus_first,float64,30000,29838,0.9946,1690,0.05663918493196595,,-0.1587301587301586 | -0.0833333333333332 | 0.2222222222222222
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,71,pn_absolute_holonomy_node_mean,pn_absolute_holonomy_node_mean,float64,30000,30000,1.0,3923,0.13076666666666667,,0.1231398809523809 | 0.1415945165945165 | 0.1066919191919191
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,72,pn_absolute_holonomy_node_std,pn_absolute_holonomy_node_std,float64,30000,29838,0.9946,4231,0.14179904819357866,,0.0623138749867356 | 0.0879844448773172 | 0.1316250786726374
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,73,pn_absolute_holonomy_node_min,pn_absolute_holonomy_node_min,float64,30000,30000,1.0,64,0.0021333333333333334,,0.0555555555555555 | 0.0 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,74,pn_absolute_holonomy_node_max,pn_absolute_holonomy_node_max,float64,30000,30000,1.0,72,0.0024,,0.2063492063492063 | 0.2827380952380953 | 0.4166666666666667
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,75,pn_absolute_holonomy_node_median,pn_absolute_holonomy_node_median,float64,30000,30000,1.0,416,0.013866666666666666,,0.1153273809523809 | 0.1121031746031745 | 0.0833333333333333
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,76,pn_absolute_holonomy_node_sum,pn_absolute_holonomy_node_sum,float64,30000,30000,1.0,3364,0.11213333333333333,,0.4925595238095236 | 1.557539682539682 | 1.173611111111111
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,77,pn_absolute_holonomy_node_last_minus_first,pn_absolute_holonomy_node_last_minus_first,float64,30000,29838,0.9946,1690,0.05663918493196595,,0.0952380952380952 | -0.0833333333333332 | 0.1111111111111111
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,78,pn_dew_angle_deg_mean,pn_dew_angle_deg_mean,float64,30000,30000,1.0,172,0.005733333333333333,,14.999999999999996 | -38.18181818181818 | -120.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,79,pn_dew_angle_deg_std,pn_dew_angle_deg_std,float64,30000,29838,0.9946,97,0.0032508881292311817,,90.0 | 94.00193421607683 | 0.0
obs073_feature_table,outputs/comparisons/obs073_C_vs_Cp3_v5_smoke/obs073_feature_table.csv,80,pn_dew_angle_deg_min,pn_dew_angle_deg_min,float64,30000,30000,1.0,3,0.0001,,-120.0 | -120.0 | -120.0
