artifact_label,artifact_path,unit_family,column_name,available,rows_read,non_null_rows,non_null_share,unique_units,median_rows_per_unit,largest_unit_rows,candidate_role,limitation
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,scale,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_importance,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_importance.csv,provenance,,False,1740,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,observation_id,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,object_id,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,route_id,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,transition_id,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,window_id,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,cohort,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,regime,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,scale,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_manifest.csv,provenance,,False,111,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,observation_id,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,object_id,object,True,168,168,1.0,8,23.0,35,candidate_structural_partition_unit,
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,route_id,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,transition_id,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,window_id,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,cohort,cohort,True,168,168,1.0,6,30.0,30,candidate_stratification_or_support_field,
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,regime,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,scale,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_feature_table,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_feature_table.csv,provenance,,False,168,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,observation_id,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,object_id,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,route_id,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,transition_id,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,window_id,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,cohort,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,regime,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,scale,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_input_manifest,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_input_manifest.csv,provenance,,False,18,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,observation_id,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,object_id,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,route_id,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,transition_id,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,window_id,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,cohort,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,regime,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,scale,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_panel_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_panel_scores.csv,provenance,,False,48,0,0.0,0,,0,unavailable,field family not found
obs078a_permutation_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_permutation_scores.csv,observation_id,,False,2400,0,0.0,0,,0,unavailable,field family not found
obs078a_permutation_scores,outputs/comparisons/obs078a_mechanistic_signature_classifier/obs078a_permutation_scores.csv,object_id,,False,2400,0,0.0,0,,0,unavailable,field family not found
