artifact_label,artifact_path,suffix,priority_match,size_bytes,size_mb,sha256,rows_read,column_count,read_status,read_error
obs079b_bootstrap_ci_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_ci_by_transition.csv,.csv,True,22623,0.021575,68de76e843627683608928c3f2a649655688c9dd24906cebcc9ab31a6bb569ee,140.0,13,ok,
obs079b_bootstrap_pairwise_case_contrasts,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts.csv,.csv,True,5006,0.004774,059cbb38bd01fba96fdeade81143cb37d0009d2be264da821b2108bf014268cc,30.0,13,ok,
obs079b_bootstrap_pairwise_case_contrasts_by_cohort,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_cohort.csv,.csv,True,30432,0.029022,2181a31ac257e7626db97a8dc9bae4b702405ce24d4bfe84bec73c260fed6ddb,180.0,14,ok,
obs079b_bootstrap_pairwise_case_contrasts_by_object,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_object.csv,.csv,True,31689,0.030221,2f2dbd926c505557a681a5997f30cced0c2ff89eba5d856a4abdcf73ef465196,180.0,14,ok,
obs079b_bootstrap_pairwise_case_contrasts_by_transition,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_bootstrap_pairwise_case_contrasts_by_transition.csv,.csv,True,21908,0.020893,25df92291cda1d2fd62fd5c881d728bada81cda54fc519199982873f6509871b,130.0,14,ok,
obs079b_feature_zscores,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_feature_zscores.csv,.csv,True,289873,0.276444,22622fb90b081826b4ab028203ae6ac35e1efa0dc665b3d003639cb19f4e1bef,168.0,123,ok,
obs079b_group_inventory,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_group_inventory.csv,.csv,True,7230,0.006895,b6671a27c36492f563961f0b975ad1eb00a2ba161869fb75cbabe4fb10a6c8c5,171.0,6,ok,
obs079b_input_manifest,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_input_manifest.csv,.csv,True,146,0.000139,ab36e9b80dc6543e70c106a88a2a16587a4689f182c7bc43cc0f016d21cc94c6,1.0,5,ok,
obs079b_report,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_report.md,.md,True,20682,0.019724,1e0aa5b8fd791f34996c4f6073e276024dacdb733606bc36dd8d35bcaf0fb322,,0,exists_non_tabular,
obs079b_zscore_stats,outputs/comparisons/obs079b_stability_signature_bootstrap_ci/obs079b_zscore_stats.csv,.csv,True,295,0.000281,7aef0662f19bae473abd5e472d9f003a8ca48fb6224342bdd7cc6f7e415a8278,3.0,5,ok,
