record_id,support_id,failure_predicate,failure_mode,control_record_id,control_family,control_relation,control_carrier,target_site_relative_contrast,control_site_relative_contrast,control_adjusted_contrast,control_complement_admissible,control_site_rows,control_complement_rows,control_shared_clusters,control_status,control_admissibility_rule,candidate_id,confirmation_partition_id,row_type,admissible_control_count,alternative_control_count,median_control_site_relative_contrast,median_control_adjusted_contrast,positive_control_adjusted_share,control_robustness_pass,control_robustness_status,eligible_control_records_json
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,three_way__no_window,relation_control,three_way,no_window,0.3039262169043379,1.3426398773754973,-1.0387136604711593,True,19.0,59.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.3039262169043379,0.1530164588511283,0.1509097580532096,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp2__geometry_scores_only,carrier_control,C_vs_Cp2,geometry_scores_only,0.3039262169043379,0.035503199914645456,0.26842301698969245,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.3039262169043379,0.2136175460945406,0.09030867080979732,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.3039262169043379,0.25002642088814225,0.053899796016195656,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,log_loss_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.3039262169043379,0.015202134333964251,0.28872408257037363,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-51b6faee33ac6cc790bd,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__stability_plus_geometry,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp3__stability_plus_geometry,relation_control,C_vs_Cp3,stability_plus_geometry,0.027643346893119702,0.16598447576133757,-0.13834112886821787,True,9.0,45.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-c811fbc12bffe9acee2f,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__stability_plus_geometry,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,Cp2_vs_Cp3__stability_plus_geometry,relation_control,Cp2_vs_Cp3,stability_plus_geometry,0.027643346893119702,-0.1024788452855887,0.1301221921787084,True,16.0,37.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-c811fbc12bffe9acee2f,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__stability_plus_geometry,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,three_way__stability_plus_geometry,relation_control,three_way,stability_plus_geometry,0.027643346893119702,0.21283524901332823,-0.18519190212020853,True,19.0,59.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-c811fbc12bffe9acee2f,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__stability_plus_geometry,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.027643346893119702,0.2446527015414619,-0.2170093546483422,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-c811fbc12bffe9acee2f,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
