failure_predicate,partition,simulator_id,delta,control_response_lambda,gate_name,replicates,pass_count,pass_probability,failure_probability
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.25,control_specificity_pass,6000,5771,0.9618333333333333,0.03816666666666668
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,effect_direction_reproduced_pass,6000,5936,0.9893333333333333,0.010666666666666713
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,target_contrast_positive_pass,6000,5936,0.9893333333333333,0.010666666666666713
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,minimum_effect_pass,6000,5769,0.9615,0.03849999999999998
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,cluster_uncertainty_pass,6000,1587,0.2645,0.7355
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,control_adjusted_contrast_pass,6000,4472,0.7453333333333333,0.2546666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.5,control_specificity_pass,6000,5261,0.8768333333333334,0.12316666666666665
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,effect_direction_reproduced_pass,6000,5950,0.9916666666666667,0.008333333333333304
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,target_contrast_positive_pass,6000,5950,0.9916666666666667,0.008333333333333304
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,minimum_effect_pass,6000,5779,0.9631666666666666,0.036833333333333385
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,cluster_uncertainty_pass,6000,1614,0.269,0.731
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,control_adjusted_contrast_pass,6000,2093,0.34883333333333333,0.6511666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,1.0,control_specificity_pass,6000,3295,0.5491666666666667,0.4508333333333333
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,effect_direction_reproduced_pass,6000,5991,0.9985,0.0014999999999999458
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,target_contrast_positive_pass,6000,5991,0.9985,0.0014999999999999458
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,minimum_effect_pass,6000,5963,0.9938333333333333,0.006166666666666654
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,cluster_uncertainty_pass,6000,1870,0.31166666666666665,0.6883333333333334
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,control_adjusted_contrast_pass,6000,5991,0.9985,0.0014999999999999458
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.0,control_specificity_pass,6000,5991,0.9985,0.0014999999999999458
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,effect_direction_reproduced_pass,6000,5992,0.9986666666666667,0.0013333333333332975
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,target_contrast_positive_pass,6000,5992,0.9986666666666667,0.0013333333333332975
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,minimum_effect_pass,6000,5962,0.9936666666666667,0.006333333333333302
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,cluster_uncertainty_pass,6000,1852,0.30866666666666664,0.6913333333333334
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,control_adjusted_contrast_pass,6000,5758,0.9596666666666667,0.04033333333333333
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.25,control_specificity_pass,6000,5898,0.983,0.017000000000000015
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,effect_direction_reproduced_pass,6000,5990,0.9983333333333333,0.0016666666666667052
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,target_contrast_positive_pass,6000,5990,0.9983333333333333,0.0016666666666667052
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,minimum_effect_pass,6000,5960,0.9933333333333333,0.00666666666666671
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,cluster_uncertainty_pass,6000,1880,0.31333333333333335,0.6866666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,control_adjusted_contrast_pass,6000,4965,0.8275,0.1725
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,0.5,control_specificity_pass,6000,5480,0.9133333333333333,0.08666666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,effect_direction_reproduced_pass,6000,5992,0.9986666666666667,0.0013333333333332975
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,target_contrast_positive_pass,6000,5992,0.9986666666666667,0.0013333333333332975
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,minimum_effect_pass,6000,5960,0.9933333333333333,0.00666666666666671
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,cluster_uncertainty_pass,6000,1873,0.31216666666666665,0.6878333333333333
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,control_adjusted_contrast_pass,6000,2148,0.358,0.642
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.75,1.0,control_specificity_pass,6000,3316,0.5526666666666666,0.44733333333333336
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,effect_direction_reproduced_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,target_contrast_positive_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,minimum_effect_pass,6000,5997,0.9995,0.0004999999999999449
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,cluster_uncertainty_pass,6000,1958,0.3263333333333333,0.6736666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,control_adjusted_contrast_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.0,control_specificity_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,effect_direction_reproduced_pass,6000,5999,0.9998333333333334,0.0001666666666666483
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,target_contrast_positive_pass,6000,5999,0.9998333333333334,0.0001666666666666483
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,minimum_effect_pass,6000,5996,0.9993333333333333,0.0006666666666667043
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,cluster_uncertainty_pass,6000,1948,0.32466666666666666,0.6753333333333333
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,control_adjusted_contrast_pass,6000,5865,0.9775,0.022499999999999964
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.25,control_specificity_pass,6000,5958,0.993,0.007000000000000006
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,effect_direction_reproduced_pass,6000,5998,0.9996666666666667,0.0003333333333332966
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,target_contrast_positive_pass,6000,5998,0.9996666666666667,0.0003333333333332966
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,minimum_effect_pass,6000,5989,0.9981666666666666,0.0018333333333333535
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,cluster_uncertainty_pass,6000,1949,0.3248333333333333,0.6751666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,control_adjusted_contrast_pass,6000,5198,0.8663333333333333,0.1336666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,0.5,control_specificity_pass,6000,5641,0.9401666666666667,0.059833333333333294
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,effect_direction_reproduced_pass,6000,5998,0.9996666666666667,0.0003333333333332966
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,target_contrast_positive_pass,6000,5998,0.9996666666666667,0.0003333333333332966
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,minimum_effect_pass,6000,5993,0.9988333333333334,0.0011666666666666492
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,cluster_uncertainty_pass,6000,1959,0.3265,0.6735
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,control_adjusted_contrast_pass,6000,2167,0.3611666666666667,0.6388333333333334
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.0,1.0,control_specificity_pass,6000,3361,0.5601666666666667,0.4398333333333333
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.5,0.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.5,0.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,1.5,0.0,effect_direction_reproduced_pass,6000,6000,1.0,0.0
