source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
structural_resampling_summary,mean_accuracy,float64,408,candidate_predictor,True,False,False,False
structural_resampling_summary,mean_balanced_accuracy,float64,406,candidate_predictor,True,False,False,False
structural_resampling_summary,median_balanced_accuracy,float64,257,candidate_predictor,True,False,False,False
structural_resampling_summary,std_balanced_accuracy,float64,405,candidate_predictor,True,False,False,False
structural_resampling_summary,ci95_low_balanced_accuracy,float64,381,candidate_predictor,True,False,False,False
structural_resampling_summary,ci95_high_balanced_accuracy,float64,138,candidate_predictor,True,False,False,False
structural_resampling_summary,p05_balanced_accuracy,float64,358,candidate_predictor,True,False,False,False
structural_resampling_summary,p95_balanced_accuracy,float64,151,candidate_predictor,True,False,False,False
structural_resampling_summary,min_balanced_accuracy,float64,357,candidate_predictor,True,False,False,False
structural_resampling_summary,max_balanced_accuracy,float64,92,candidate_predictor,True,False,False,False
structural_resampling_summary,mean_macro_f1,float64,408,candidate_predictor,True,False,False,False
structural_resampling_summary,p_above_threshold,float64,99,candidate_predictor,True,False,False,False
structural_resampling_summary,p_above_baseline,float64,3,candidate_predictor,True,False,False,False
registry,relation_id,str,24,forbidden_predictive_leakage,False,False,False,False
registry,task,str,4,metadata_unresolved,False,True,False,True
registry,carrier,str,6,forbidden_predictive_leakage,False,False,False,False
registry,carrier_role,str,6,forbidden_predictive_leakage,False,False,False,False
registry,carrier_role_detail,str,9,forbidden_predictive_leakage,False,False,False,False
registry,rig_status,str,4,metadata_unresolved,False,True,False,True
registry,rig_status_rank,int64,4,candidate_predictor,True,False,False,False
registry,threshold,float64,3,candidate_predictor,True,False,False,False
registry,baseline,float64,2,candidate_predictor,True,False,False,False
registry,obs080c_carrier_ba,float64,19,forbidden_predictive_leakage,False,False,False,False
registry,obs080d_carrier_mean_ba,float64,20,forbidden_predictive_leakage,False,False,False,False
registry,obs080d_carrier_min_ci95_low,float64,19,forbidden_predictive_leakage,False,False,False,False
registry,obs080d_carrier_min_p_above_threshold,float64,7,forbidden_predictive_leakage,False,False,False,False
registry,task_geometry_needed_level,str,1,metadata_unresolved,False,True,False,True
registry,task_geometry_needed_label,str,1,outcome_or_evaluation,False,False,False,False
registry,task_geometry_needed_rationale,str,3,metadata_unresolved,False,True,False,True
registry,failure_notes,str,3,metadata_unresolved,False,True,False,True
registry,repair_recommendation,str,5,metadata_unresolved,False,True,False,True
registry,repair_rationale,str,5,metadata_unresolved,False,True,False,True
registry,n_survival_rows,int64,2,candidate_predictor,True,False,False,False
registry,mean_survival_score,float64,23,forbidden_predictive_leakage,False,False,False,False
registry,min_survival_score,float64,23,forbidden_predictive_leakage,False,False,False,False
registry,numeric_transform_n,int64,2,candidate_predictor,True,False,False,False
registry,numeric_transform_mean_score,float64,4,forbidden_predictive_leakage,False,False,False,False
registry,numeric_transform_min_score,float64,4,forbidden_predictive_leakage,False,False,False,False
registry,numeric_transform_status,str,2,metadata_unresolved,False,True,False,True
registry,scale_band_n,int64,2,candidate_predictor,True,False,False,False
registry,scale_band_mean_score,float64,4,forbidden_predictive_leakage,False,False,False,False
