address_id,simulator_id,delta,control_response_lambda,comparison_type,left_label,right_label,mean_absolute_probability_difference,maximum_absolute_probability_difference,trajectory_pearson_correlation,first_pass_k_left,first_pass_k_right,first_pass_k_agreement,empirical_passability_agreement,minimum_k_0_50_agreement,minimum_k_0_80_agreement,minimum_k_0_90_agreement,final_probability_left,final_probability_right,probability_vector_left_json,probability_vector_right_json
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.25,0.25,partition,discovery,confirmation,0.03328571428571429,0.125,,5.0,,False,False,True,True,True,0.125,0.0,"{""10"":0.071,""12"":0.125,""3"":0.0,""4"":0.0,""5"":0.002,""6"":0.006,""8"":0.029}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.5,0.25,partition,discovery,confirmation,0.07814285714285715,0.278,,4.0,,False,False,True,True,True,0.278,0.0,"{""10"":0.159,""12"":0.278,""3"":0.0,""4"":0.001,""5"":0.007,""6"":0.024,""8"":0.078}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.75,0.25,partition,discovery,confirmation,0.10742857142857143,0.327,,4.0,,False,False,True,True,True,0.327,0.0,"{""10"":0.234,""12"":0.327,""3"":0.0,""4"":0.004,""5"":0.018,""6"":0.04,""8"":0.129}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.0,0.25,partition,discovery,confirmation,0.10342857142857143,0.33,,4.0,,False,False,True,True,True,0.33,0.0,"{""10"":0.219,""12"":0.33,""3"":0.0,""4"":0.006,""5"":0.019,""6"":0.043,""8"":0.107}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.5,0.25,partition,discovery,confirmation,0.10114285714285713,0.338,,4.0,,False,False,True,True,True,0.338,0.0,"{""10"":0.205,""12"":0.338,""3"":0.0,""4"":0.005,""5"":0.013,""6"":0.037,""8"":0.11}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,2.0,0.25,partition,discovery,confirmation,0.11371428571428573,0.364,,4.0,,False,False,True,True,True,0.364,0.0,"{""10"":0.235,""12"":0.364,""3"":0.0,""4"":0.006,""5"":0.02,""6"":0.041,""8"":0.13}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.25,0.5,partition,discovery,confirmation,0.032857142857142856,0.123,,5.0,,False,False,True,True,True,0.123,0.0,"{""10"":0.065,""12"":0.123,""3"":0.0,""4"":0.0,""5"":0.002,""6"":0.011,""8"":0.029}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.5,0.5,partition,discovery,confirmation,0.07871428571428572,0.254,,4.0,,False,False,True,True,True,0.254,0.0,"{""10"":0.16,""12"":0.254,""3"":0.0,""4"":0.006,""5"":0.014,""6"":0.031,""8"":0.086}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.75,0.5,partition,discovery,confirmation,0.095,0.32,,4.0,,False,False,True,True,True,0.32,0.0,"{""10"":0.21,""12"":0.32,""3"":0.0,""4"":0.003,""5"":0.005,""6"":0.029,""8"":0.098}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.0,0.5,partition,discovery,confirmation,0.09771428571428571,0.326,,4.0,,False,False,True,True,True,0.326,0.0,"{""10"":0.204,""12"":0.326,""3"":0.0,""4"":0.004,""5"":0.014,""6"":0.032,""8"":0.104}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.5,0.5,partition,discovery,confirmation,0.09542857142857143,0.319,,4.0,,False,False,True,True,True,0.319,0.0,"{""10"":0.199,""12"":0.319,""3"":0.0,""4"":0.004,""5"":0.012,""6"":0.033,""8"":0.101}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,2.0,0.5,partition,discovery,confirmation,0.09771428571428571,0.333,,4.0,,False,False,True,True,True,0.333,0.0,"{""10"":0.207,""12"":0.333,""3"":0.0,""4"":0.005,""5"":0.01,""6"":0.026,""8"":0.103}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.25,1.0,partition,discovery,confirmation,0.015571428571428571,0.055,,4.0,,False,False,True,True,True,0.055,0.0,"{""10"":0.026,""12"":0.055,""3"":0.0,""4"":0.001,""5"":0.004,""6"":0.006,""8"":0.017}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.5,1.0,partition,discovery,confirmation,0.02885714285714286,0.102,,4.0,,False,False,True,True,True,0.102,0.0,"{""10"":0.056,""12"":0.102,""3"":0.0,""4"":0.001,""5"":0.002,""6"":0.012,""8"":0.029}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,0.75,1.0,partition,discovery,confirmation,0.032285714285714286,0.1,,4.0,,False,False,True,True,True,0.1,0.0,"{""10"":0.072,""12"":0.1,""3"":0.0,""4"":0.001,""5"":0.005,""6"":0.01,""8"":0.038}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.0,1.0,partition,discovery,confirmation,0.03271428571428572,0.108,,4.0,,False,False,True,True,True,0.108,0.0,"{""10"":0.068,""12"":0.108,""3"":0.0,""4"":0.001,""5"":0.002,""6"":0.009,""8"":0.041}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,1.5,1.0,partition,discovery,confirmation,0.02885714285714286,0.093,,5.0,,False,False,True,True,True,0.093,0.0,"{""10"":0.063,""12"":0.093,""3"":0.0,""4"":0.0,""5"":0.005,""6"":0.01,""8"":0.031}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1cce3e5fe7c50070e58676c9,joint_gaussian_regularized_cluster,2.0,1.0,partition,discovery,confirmation,0.02457142857142857,0.073,,5.0,,False,False,True,True,True,0.073,0.0,"{""10"":0.051,""12"":0.073,""3"":0.0,""4"":0.0,""5"":0.004,""6"":0.011,""8"":0.033}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1dbc920edffba9363b404b4e,joint_gaussian_regularized_cluster,0.0,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1dbc920edffba9363b404b4e,joint_gaussian_regularized_cluster,0.25,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1dbc920edffba9363b404b4e,joint_gaussian_regularized_cluster,0.5,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1dbc920edffba9363b404b4e,joint_gaussian_regularized_cluster,0.75,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
1dbc920edffba9363b404b4e,joint_gaussian_regularized_cluster,1.0,0.0,partition,discovery,confirmation,0.0,0.0,1.0,,,True,True,True,True,True,0.0,0.0,"{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}","{""10"":0.0,""12"":0.0,""3"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""8"":0.0}"
