scenario_id,base_scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,prospective_cluster_count,delta,control_response_lambda,first_failure_status,gate_name,gate_order,replicate_count,replicate_probability,replicates
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,overall_pass,none,0,0,0.0,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,support_available_pass,1,0,0.0,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,complement_admissible_pass,2,143,0.143,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,effect_direction_reproduced_pass,3,67,0.067,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,target_contrast_positive_pass,4,0,0.0,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,minimum_effect_pass,5,217,0.217,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,cluster_uncertainty_pass,6,321,0.321,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,raw_statistical_threshold_pass,7,252,0.252,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,multiplicity_adjusted_threshold_pass,8,0,0.0,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,control_adjusted_contrast_pass,9,0,0.0,1000
CS-8f2725de36d07c4a2b2417bc,BS-e36baf63813fec681418d6ce,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,1.0,first_failed_gate,control_specificity_pass,10,0,0.0,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,overall_pass,none,0,0,0.0,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,support_available_pass,1,0,0.0,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,complement_admissible_pass,2,109,0.109,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,effect_direction_reproduced_pass,3,13,0.013,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,target_contrast_positive_pass,4,0,0.0,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,minimum_effect_pass,5,57,0.057,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,cluster_uncertainty_pass,6,365,0.365,1000
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.5,0.0,first_failed_gate,raw_statistical_threshold_pass,7,456,0.456,1000
