relation_id,obs,contract_family,contract_name,task,feature_contract,carrier_role,score,threshold,status,source_path,best_model,best_scheme,stratified_cv_best_ba,leave_object_out_best_ba,leave_cohort_out_best_ba,leave_transition_out_best_ba,ci_low,p_above_threshold,failure_rate,n_success,n_fail
three_way__stability_core_3,OBS-080b,scale_band,mid_to_coarse,three_way,stability_core_3,compact_core_carrier,0.9629629629629632,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,middle,C_vs_Cp2,stability_core_3,compact_core_carrier,0.9583333333333334,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_cohort_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,all_but_early,three_way,stability_core_3,compact_core_carrier,0.9444444444444444,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,middle,three_way,stability_core_3,compact_core_carrier,0.9166666666666666,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_cohort_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,all,three_way,stability_core_3,compact_core_carrier,0.9161616161616164,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,adjacent_only,three_way,stability_core_3,compact_core_carrier,0.9161616161616164,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,all_but_late,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.9,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,adjacent_only,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8833333333333332,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,all,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8833333333333332,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,all_but_late,three_way,stability_core_3,compact_core_carrier,0.8739197530864198,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,tree_depth2,leave_cohort_out,,,,,,,,,
