address_id,partition,failure_predicate,component_role,record_id,control_family,cluster_id,object_contrast,site_rows,complement_rows,center_offset,centered_baseline_contrast,native_injection_scale
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,frobenius_ridge,0.0003400965548533419,4,20,-0.02349853515625,-4.268836429899281e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,lazarus_concentration,,1,5,-0.02349853515625,-4.268836429899281e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,response_ridge,0.0003400965548533419,4,20,-0.02349853515625,-4.268836429899281e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,coupling_negative,,1,4,-0.019927978515625,6.145995663509041e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,coupling_positive,,1,5,-0.019927978515625,6.145995663509041e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,energy_ridge,0.0032574734466064292,3,15,-0.019927978515625,6.145995663509041e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,seam_proxy,0.002747150369706297,4,20,-0.019927978515625,6.145995663509041e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,coupling_negative,,1,5,-0.3828277587890625,-8.924966595491579e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,coupling_positive,0.10242576532354425,2,8,-0.3828277587890625,-8.924966595491579e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,energy_ridge,0.07686753099446642,2,8,-0.3828277587890625,-8.924966595491579e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp2__geometry_scores_only,control,seam_proxy,0.036604989800296805,4,19,-0.3828277587890625,-8.924966595491579e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,coupling_negative,0.06690975767575857,2,9,-0.3181915283203125,1.4486619326348205e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,coupling_positive,,1,3,-0.3181915283203125,1.4486619326348205e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,energy_ridge,0.00486774163592929,3,13,-0.3181915283203125,1.4486619326348205e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,seam_proxy,0.10251477132645004,4,19,-0.3181915283203125,1.4486619326348205e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,coupling_negative,,1,4,0.012908935546875,1.3253619068898104e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,coupling_positive,,1,5,0.012908935546875,1.3253619068898104e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,energy_ridge,0.008597287397744569,3,15,0.012908935546875,1.3253619068898104e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__no_window,control,seam_proxy,-0.007250006777355211,4,20,0.012908935546875,1.3253619068898104e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,coupling_negative,,1,4,-0.0167999267578125,-5.033487545658133e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,coupling_positive,,1,5,-0.0167999267578125,-5.033487545658133e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,energy_ridge,-0.0011632757002397742,3,15,-0.0167999267578125,-5.033487545658133e-07,0.25
f4f4a9de74337511940dbe01,confirmation,relation_separation_attenuation,control,Cp2_vs_Cp3__path_shares_only,control,seam_proxy,0.0017257523223802584,4,20,-0.0167999267578125,-5.033487545658133e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,target,C_vs_Cp3__no_window,target,density_core,-0.5848659437179683,12,6,5.5612945556640625,-6.721848111457263e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,target,C_vs_Cp3__no_window,target,frobenius_ridge,,2,14,5.5612945556640625,-6.721848111457263e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,target,C_vs_Cp3__no_window,target,lazarus_concentration,,0,4,5.5612945556640625,-6.721848111457263e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,target,C_vs_Cp3__no_window,target,response_ridge,,2,14,5.5612945556640625,-6.721848111457263e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,density_core,-0.09138378538442105,10,8,4.6607666015625,-4.2029798330567303e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,frobenius_ridge,,6,10,4.6607666015625,-4.2029798330567303e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,lazarus_concentration,,0,10,4.6607666015625,-4.2029798330567303e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,response_ridge,,6,10,4.6607666015625,-4.2029798330567303e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,density_core,-0.6226684291110286,12,6,5.1818695068359375,3.6620592536174e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,frobenius_ridge,,2,14,5.1818695068359375,3.6620592536174e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,lazarus_concentration,,0,4,5.1818695068359375,3.6620592536174e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp3__geometry_scores_only,control,response_ridge,,2,14,5.1818695068359375,3.6620592536174e-07,0.25
aa0c3dea0cb178601665f0a3,discovery,relation_separation_attenuation,control,C_vs_Cp3__path_shares_only,control,density_core,0.0034094577679816274,12,6,3.4584808349609375,7.25174720273003e-09,0.25
