failure_predicate,partition,simulator_id,address_id,omitted_cluster,full_mean_target_contrast,loo_mean_target_contrast,full_replicate_scale,standardized_loo_change,loo_replicates,loo_status,structural_target_estimable,structural_control_estimable_count,simulation_error_count,loo_successful
relation_separation_attenuation,confirmation,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,coupling_negative,0.09807616131495779,0.47500350679853076,0.19676173458581694,1.9156537030790275,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,coupling_positive,0.09807616131495779,0.1499430670950327,0.19676173458581694,0.26360260489294135,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,energy_ridge,0.09807616131495779,0.06951209418253496,0.19676173458581694,0.14517084428306215,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,seam_proxy,0.09807616131495779,0.010852989432668943,0.19676173458581694,0.44329336730992663,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,coupling_negative,0.04478561012956636,0.62647928195169,0.12725632367159476,4.571039419017612,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,coupling_positive,0.04478561012956636,0.05713916391451667,0.12725632367159476,0.0970761485836305,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,energy_ridge,0.04478561012956636,-0.20865134156620985,0.12725632367159476,1.9915470161609468,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,seam_proxy,0.04478561012956636,-0.04502362763495263,0.12725632367159476,0.7057349699672769,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,coupling_negative,0.048595992952531794,0.6121338905522137,0.23252769285451239,2.42353025001747,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,coupling_positive,0.048595992952531794,0.04733116706861438,0.23252769285451239,0.005439463439345223,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,energy_ridge,0.048595992952531794,-0.22590383060042016,0.23252769285451239,1.180503793690933,32,estimable,True,4,0,True
relation_separation_attenuation,confirmation,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,seam_proxy,0.048595992952531794,-0.024634545430853097,0.23252769285451239,0.31493254624602357,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,density_core,0.0011809659090659427,,0.05,,32,structurally_unavailable,False,0,0,False
relation_separation_attenuation,discovery,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,frobenius_ridge,0.0011809659090659427,-0.01635892838535611,0.05,0.350797885888441,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,lazarus_concentration,0.0011809659090659427,-0.015754928253367752,0.05,0.33871788324867386,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_empirical_cluster_bootstrap,5664a919a73350d749e027dc,response_ridge,0.0011809659090659427,-0.03143949895480073,0.05,0.6524092972773333,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,density_core,-0.025095227214164104,,0.05,,32,structurally_unavailable,False,0,0,False
relation_separation_attenuation,discovery,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,frobenius_ridge,-0.025095227214164104,-0.05295592327857777,0.05,0.5572139212882732,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,lazarus_concentration,-0.025095227214164104,-0.03838186615015764,0.05,0.2657327787198706,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_wild_cluster_rademacher,5664a919a73350d749e027dc,response_ridge,-0.025095227214164104,-0.05827691691531432,0.05,0.6636337940230044,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,density_core,-0.06035606741457893,,0.057027546872677165,,32,structurally_unavailable,False,0,0,False
relation_separation_attenuation,discovery,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,frobenius_ridge,-0.06035606741457893,-0.061000247829452854,0.057027546872677165,0.0112959516970308,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,lazarus_concentration,-0.06035606741457893,-0.07571542743493556,0.057027546872677165,0.2693322939990524,32,estimable,True,4,0,True
relation_separation_attenuation,discovery,joint_gaussian_regularized_cluster,5664a919a73350d749e027dc,response_ridge,-0.06035606741457893,-0.04748797787293396,0.057027546872677165,0.22564690657963904,32,estimable,True,4,0,True
